HALF,PROGRAM,NIGHT,OFFSET_KMS,COMPONENT,N_LABELS_FIT,N_TRAIN_PAIRS,N_CONNECTED_COMPONENTS
A,BRIGHT,20211020,-0.258666244005461,0,206,117550,1
A,BRIGHT,20211021,-0.46051316769569595,0,206,117550,1
A,BRIGHT,20211022,-0.04819345924246057,0,206,117550,1
A,BRIGHT,20211023,-0.17036381462475833,0,206,117550,1
A,BRIGHT,20211026,0.5100039374887346,0,206,117550,1
A,BRIGHT,20211029,-0.7909116233190132,0,206,117550,1
A,BRIGHT,20211031,-2.0133539068934994,0,206,117550,1
A,BRIGHT,20211103,-3.090243679407577,0,206,117550,1
A,BRIGHT,20211105,-1.4098569950621365,0,206,117550,1
A,BRIGHT,20211106,0.5730305782804744,0,206,117550,1
A,BRIGHT,20211107,-0.5904859656686541,0,206,117550,1
A,BRIGHT,20211110,0.21624369419773745,0,206,117550,1
A,BRIGHT,20211111,0.3809081902243835,0,206,117550,1
A,BRIGHT,20211112,0.08103014707850706,0,206,117550,1
A,BRIGHT,20211113,-0.5499421088084037,0,206,117550,1
A,BRIGHT,20211114,-0.19602244840050484,0,206,117550,1
A,BRIGHT,20211115,-0.6211491781057724,0,206,117550,1
A,BRIGHT,20211116,-0.05435386219886289,0,206,117550,1
A,BRIGHT,20211117,-0.405724794416647,0,206,117550,1
A,BRIGHT,20211118,-1.139713555552889,0,206,117550,1
A,BRIGHT,20211119,-0.5347658431877326,0,206,117550,1
A,BRIGHT,20211120,0.5733062601439178,0,206,117550,1
A,BRIGHT,20211122,-0.34773122498108777,0,206,117550,1
A,BRIGHT,20211125,0.13974779744094362,0,206,117550,1
A,BRIGHT,20211126,-0.6532082639120323,0,206,117550,1
A,BRIGHT,20211127,0.18252493769909767,0,206,117550,1
A,BRIGHT,20211128,-0.49175987469862337,0,206,117550,1
A,BRIGHT,20211129,-0.4211247974884206,0,206,117550,1
A,BRIGHT,20211130,-1.294959261886992,0,206,117550,1
A,BRIGHT,20211201,0.08132939284441604,0,206,117550,1
A,BRIGHT,20211202,-0.9499148742722937,0,206,117550,1
A,BRIGHT,20211203,0.8536089168170201,0,206,117550,1
A,BRIGHT,20211204,-0.12913195160441696,0,206,117550,1
A,BRIGHT,20211205,-0.32500026847238705,0,206,117550,1
A,BRIGHT,20211206,0.788477327038463,0,206,117550,1
A,BRIGHT,20211208,-0.2605801872729706,0,206,117550,1
A,BRIGHT,20211210,1.2682836790543417,0,206,117550,1
A,BRIGHT,20211211,-0.1739289889506372,0,206,117550,1
A,BRIGHT,20211212,-0.09941306235637723,0,206,117550,1
A,BRIGHT,20211215,-0.19353266312246528,0,206,117550,1
A,BRIGHT,20211216,-0.22055600949552104,0,206,117550,1
A,BRIGHT,20211217,0.5579196820228163,0,206,117550,1
A,BRIGHT,20211218,-0.1259590445674444,0,206,117550,1
A,BRIGHT,20211219,-0.017485042281036735,0,206,117550,1
A,BRIGHT,20211220,-0.07649912173424239,0,206,117550,1
A,BRIGHT,20220101,0.9562179970557539,0,206,117550,1
A,BRIGHT,20220103,0.06145821208771883,0,206,117550,1
A,BRIGHT,20220104,-0.04581077033710869,0,206,117550,1
A,BRIGHT,20220105,1.16530101256529,0,206,117550,1
A,BRIGHT,20220106,-0.0042899655670279035,0,206,117550,1
A,BRIGHT,20220107,-0.31075994572386867,0,206,117550,1
A,BRIGHT,20220108,0.3172797690440273,0,206,117550,1
A,BRIGHT,20220109,0.5485803663151306,0,206,117550,1
A,BRIGHT,20220111,0.9549697781789297,0,206,117550,1
A,BRIGHT,20220112,-0.4029054891489178,0,206,117550,1
A,BRIGHT,20220113,-0.25638401472073147,0,206,117550,1
A,BRIGHT,20220114,-0.12328998994847337,0,206,117550,1
A,BRIGHT,20220119,-0.3356085943592343,0,206,117550,1
A,BRIGHT,20220120,-0.1681599503503428,0,206,117550,1
A,BRIGHT,20220121,0.22398538235602142,0,206,117550,1
A,BRIGHT,20220123,0.1525680027794698,0,206,117550,1
A,BRIGHT,20220124,-0.4277284879509289,0,206,117550,1
A,BRIGHT,20220125,0.459222440021109,0,206,117550,1
A,BRIGHT,20220126,0.6914451760223258,0,206,117550,1
A,BRIGHT,20220127,0.5001777876620795,0,206,117550,1
A,BRIGHT,20220129,-0.47871591778354106,0,206,117550,1
A,BRIGHT,20220130,1.0120227408233755,0,206,117550,1
A,BRIGHT,20220131,0.9852019339525044,0,206,117550,1
A,BRIGHT,20220201,0.43721157580095094,0,206,117550,1
A,BRIGHT,20220202,0.5009239080268015,0,206,117550,1
A,BRIGHT,20220203,0.7914458935750125,0,206,117550,1
